"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4869","@web clientapp automation","","2026-07-30","passed","2026-07-30","","Clientapp.spec.js","",""
"","5373","@web clientapp special Automation","","2026-07-30","passed","2026-07-30","","Clientappspecial.spec.js","",""
